房源标题,房源地址,户型,面积,价格
常绿大溪地,宛城区/宛城区/滨河路与杜诗路交汇处,大型社区|入户花园|健身跑道|公交直达,,总价160(万/套)
恒大翡翠华庭,宛城区/宛城区/雪枫路与白河大道交叉口东500米,绿化率高|贴心物业|儿童乐园|近主干道,建面 102-140㎡,总价95-130(万/套)
凯璟清华园,宛城区/宛城区/南阳市宛城区建设东路一高西隔墙,车位充足|绿化率高|健身跑道|儿童乐园,建面 66-143㎡,总价64-138(万/套)
龙达新天地云街,宛城区/宛城区/范蠡路与孔明路交叉口西北,低总价|大型社区|贴心物业|公交直达,,总价39(万/套)
美盛白河湾,卧龙区/卧龙区/滨河路与京宛大道交汇处向北150米,车位充足|绿化率高|置换改善|品牌房企,建面 293-390㎡,总价650-900(万/套)
万达国际,卧龙区/卧龙区/中州路122号,车位充足|小型社区|公交直达|近主干道,建面 62-125㎡,总价53-107(万/套)
未来里,宛城区/宛城区/伏牛路与雪枫路（新312国道）交汇处东200米,车位充足|绿化率高|公交直达|近主干道,建面 98-138㎡,
兴龙城,卧龙区/卧龙区/张衡路与明山路交汇处东南角,车位充足|绿化率高|公交直达|近主干道,,总价115-119(万/套)
中梁首府,宛城区/宛城区/经十路与雪枫路交汇处以东约200米,绿化率高|大型社区|健身跑道|休闲会所,,总价85-110(万/套)
中信国安城,卧龙区/卧龙区/南阳市滨河路北段李宁体育园旁,车位充足|绿化率高|国央企|置换改善,建面 159-230㎡,总价170-246(万/套)
东鑫中央公园,宛城区/宛城区/南阳市独山大道与汉冶路交汇处,绿化率高|大型社区|公交直达|近主干道,建面 117-143㎡,总价105-128(万/套)
建业公园里,卧龙区/卧龙区/信臣路和孔明路交叉口北100米路东,绿化率高|小型社区|品牌房企|健身跑道,建面 110-144㎡,总价156-172(万/套)
鑫磊·森林湖,卧龙区/卧龙区/仲景北路与信臣路交叉口向北,车位充足|绿化率高|置换改善|养老舒适,建面 159-221㎡,总价180-300(万/套)
三川·御锦台,宛城区/宛城区/信臣路与孔明路交汇处东南角,绿化率高|大型社区|科技住宅|健身跑道,建面 183-270㎡,总价174-290(万/套)
山川·花园里,宛城区/宛城区/张衡路与明山路交汇处西南角,绿化率高|小型社区|健身跑道|贴心物业,建面 113-151㎡,总价113-151(万/套)
先锋橡树湾,卧龙区/卧龙区/光武西路与百里奚路交叉口向西500米路南,低单价|大型社区|健身跑道|贴心物业,建面 119-126㎡,总价96-101(万/套)
长安公馆,宛城区/宛城区/张衡路与仲景路交会处西南角,小型社区|公交直达|近主干道|小户型,建面 55-128㎡,总价48-112(万/套)
三川·金融街,宛城区/宛城区/光武大桥向东1000米路南,大型社区|公交直达|近主干道|小户型,建面 77㎡,总价73(万/套)
麒麟花海,卧龙区/卧龙区/南阳市麒麟湖西北岸（钓鱼场向前500米）,低总价|绿化率高|低密居所|品牌房企,,
金科·集美晴洲,宛城区/宛城区/卧龙桥南白河大道向西1000米,绿化率高|品牌房企|贴心物业|公交直达,建面 113-159㎡,总价113-159(万/套)
文华南阳天地,宛城区/宛城区/新华路与独山大道交汇处向西300米,大型社区|贴心物业|公交直达|近主干道,建面 51-135㎡,总价62-162(万/套)
建业·十里湖山,卧龙区/卧龙区/麒麟湖风景区环湖路与龙祥路交汇处向西800米,绿化率高|低密居所|置换改善|品牌房企,建面 82-212㎡,总价72-190(万/套)
传世温泉公馆,宛城区/宛城区/长江路与经十路交汇处向南约600米,车位充足|绿化率高|置换改善|水系园林,建面 90-300㎡,总价135-450(万/套)
东正颐和府,卧龙区/卧龙区/滨河路与卧龙路交汇处,绿化率高|大型社区|中式建筑|贴心物业,建面 134-237㎡,总价168-297(万/套)
阳光城丽景公园,卧龙区/卧龙区/卧龙路与雪枫路交叉口东北角,车位充足|绿化率高|品牌房企|贴心物业,建面 88-125㎡,总价57-88(万/套)
常绿卧龙府,宛城区/宛城区/长江路经十路交叉口向南500米,绿化率高|品牌房企|健身跑道|公交直达,建面 120-165㎡,总价130-177(万/套)
三川·玖龙台,宛城区/宛城区/宛城区白河大道与伏牛路交叉口向西1000米,车位充足|绿化率高|入户花园|科技住宅,建面 410-765㎡,总价400-760(万/套)
邓州东正颐和府,邓州市/邓州市/穰邓大道与北京大道交叉口,绿化率高|低密居所|置换改善|科技住宅,建面 107-138㎡,总价80-104(万/套)
邓州翰林公馆,邓州市/邓州市/湍河新区穰城北路与九龙街交叉口,绿化率高|低密居所|水系园林|贴心物业,,
邓州建业公园里,邓州市/邓州市/邓州市湍滨北路与北京大道交叉口西北角（彩虹桥北）,绿化率高|低密居所|置换改善|品牌房企,建面 135-165㎡,
邓州建业森林半岛,邓州市/邓州市/邓州市团结路与东一环交汇处,绿化率高|大型社区|品牌房企|健身跑道,建面 88-125㎡,
碧桂园云璟,邓州市/邓州市/北京大道彩虹桥北300米,绿化率高|低密居所|置换改善|品牌房企,建面 118-225㎡,
东正·皇马观邸,邓州市/邓州市/北京大道与团结路交叉口,低单价|车位充足|绿化率高|贴心物业,建面 108-138㎡,
合园,邓州市/邓州市/北京大道与团结路交叉口向西一百米,车位充足|绿化率高|公交直达|近主干道,建面 91-159㎡,
农商智慧城,邓州市/邓州市/邓州迎宾大道与东扶路交叉口东南角,公交直达|近主干道|小户型|小一居,建面 48㎡,
半岛帝城,邓州市/邓州市/湍滨大道和文化北路交汇处,绿化率高|大型社区|贴心物业|儿童乐园,建面 135-200㎡,
新旭京华府,邓州市/邓州市/北京大道与南桥街交汇处,绿化率高|大型社区|贴心物业|公交直达,建面 112-148㎡,
中德岳阳印象,邓州市/邓州市/北京大道与南二环交汇处东北角,低单价|绿化率高|小型社区|贴心物业,建面 89-122㎡,
金川美景春天,邓州市/邓州市/东一环与团结路交汇处向南100米,低单价|绿化率高|健身跑道|贴心物业,建面 47-97㎡,
东正MOCO新世界,邓州市/邓州市/邓州市新华路与交通路交汇处,大型社区|健身跑道|儿童乐园|公交直达,建面 105-124㎡,
建业城,邓州市/邓州市/邓州市南一环与古城路交叉口西南角,低单价|绿化率高|大型社区|品牌房企,建面 136-141㎡,
金川西湖美景,邓州市/邓州市/新华西路与杏山大道交汇处,低单价|绿化率高|健身跑道|儿童乐园,建面 93㎡,总价374800(万/套)
四季花城,邓州市/邓州市/邓州市南一环与三贤路交汇处,低单价|健身跑道|贴心物业|公交直达,建面 98-139㎡,
中基新天地,方城县/方城县/释之路与吴府大道交叉口西北角,绿化率高|大型社区|科技住宅|贴心物业,建面 113-128㎡,
大上海国际,方城县/方城县/七峰大道与康达路交汇处向东,绿化率高|大型社区|公交直达|近主干道,建面 117-142㎡,总价64-78(万/套)
国海翰林学府,方城县/方城县/方城县第七小学旁,车位充足|绿化率高|公交直达|近主干道,,总价56-58(万/套)
建业森林半岛,方城县/方城县/方城县康达路与威海路七峰大道交汇处东北角,绿化率高|小型社区|贴心物业|公交直达,建面 118-170㎡,总价68-98(万/套)
一品国际花园,新野县/新野县/三国大道与南阳大道交汇处向西200米,大型社区|品牌房企|科技住宅|公交直达,建面 120-136㎡,总价54-62(万/套)
一品锦绣山河,新野县/新野县/三里河北路与人民路交汇处,小型社区|品牌房企|儿童乐园|公交直达,,
一品龙湾,新野县/新野县/三国大道与三里河南路交会处,小型社区|贴心物业|儿童乐园|公交直达,建面 126㎡,总价53(万/套)
奥通广场•文旅城,新野县/新野县/朝阳汽车站北100米电业大厦对面,小型社区|自持商业|公交直达|已交房超2年,建面 118㎡,总价48(万/套)
建业森林半岛,新野县/新野县/朝阳路北段车辆管理所向北50米,大型社区|科技住宅|贴心物业|公交直达,,总价55(万/套)
鑫汇•文景苑,新野县/新野县/健康路与中兴路交汇处东300米（县一高对面）,品牌房企|贴心物业|大三居|大两居,建面 93-130㎡,总价38-53(万/套)
一品壹号院,新野县/新野县/三国大道与三里河北路交汇处,品牌房企|贴心物业|公交直达|已交房超2年,,
黄河时代城,卧龙区/卧龙区/火车站广场南侧,低总价|大型社区|贴心物业|自持商业,,总价20(万/套)
镇平建业春天里,镇平县/镇平县/平安大道与航天大道交叉口东南角,绿化率高|品牌房企|科技住宅|公交直达,建面 115-144㎡,总价54-68(万/套)
天和家园,镇平县/镇平县/平安大道与玉都大道交叉口南侧,绿化率高|大型社区|科技住宅|贴心物业,建面 125-126㎡,总价54(万/套)
启元上和院,镇平县/镇平县/平安大道与玉神路交叉口西南角,绿化率高|品牌房企|科技住宅|公交直达,,总价66(万/套)
南都明珠·滨湖新城,南召县/南召县/汉江路南都明珠·滨湖新城,低总价|绿化率高|科技住宅|旅游地产,,总价25(万/套)
镇平碧桂园,镇平县/镇平县/工业路与玉源大道交叉口向东200米,绿化率高|大型社区|品牌房企|科技住宅,建面 118-185㎡,总价67-105(万/套)
南湖湾,内乡县/内乡县/大成桥西头向南500米路东,低单价|低总价|车位充足|大型社区,建面 107-144㎡,总价39-52(万/套)
万隆·新天地,内乡县/内乡县/郦都大道与菊潭大街交汇处（汽车站对面）,大型社区|科技住宅|水系园林|公交直达,建面 128-141㎡,总价55-61(万/套)
阳光锦城,社旗县/社旗县/建设路与宏达路交汇处社旗新汽车站向南100米路东,绿化率高|小型社区|科技住宅|水系园林,建面 120-146㎡,总价48-58(万/套)
社旗三杰盛世城,社旗县/社旗县/长江路酒业大道交汇处向北200米路东（新县医院南侧）,低总价|绿化率高|科技住宅|贴心物业,建面 111-140㎡,总价45-57(万/套)
普罗旺世小区,社旗县/社旗县/建设路与宏达路交叉口,车位充足|绿化率高|科技住宅|贴心物业,建面 94-128㎡,
西峡建业·公园里,西峡县/西峡县/迎宾路与白羽路交汇处向西100米,品牌房企|科技住宅|公交直达|大三居,建面 135-144㎡,总价74-79(万/套)
西峡恒大御景半岛,西峡县/西峡县/人民路与析江路交叉口西南角,车位充足|绿化率高|养老舒适|品牌房企,,总价48(万/套)
伏牛山·财富庄园,西峡县/西峡县/太平镇老界岭风景区东门1公里,绿化率高|低密居所|旅游地产|水系园林,建面 43-88㎡,总价42-86(万/套)
荣耀龙城,西峡县/西峡县/北四环与鹳河大道交汇处,低单价|车位充足|绿化率高|置换改善,建面 145-264㎡,总价55-106(万/套)
南召碧桂园,南召县/南召县/西滨河路与现代北街交叉口,绿化率高|大型社区|品牌房企|科技住宅,建面 126-225㎡,总价52-92(万/套)
淅川碧桂园·翡翠郡,淅川县/淅川县/政通路与北三环路交汇处,绿化率高|品牌房企|科技住宅|大平层,建面 125-225㎡,总价58-104(万/套)
美盛教育港湾,金水区/陈寨/文化路与国基路交会处西北角美盛教育港湾营销体验中心,郑州楼盘|人车分流|大型社区|品牌房企,建面 91-233㎡,总价190-284(万/套)
盛澳金尊府,管城回族区/阳光城/航海路与腾飞路交汇处向南300米,郑州楼盘|车位充足|绿化率高|中式建筑,建面 118-202㎡,总价191-416(万/套)
信保春风十里,郑州经济技术开发区/滨河国际新城商圈/管城回族区滨河国际新城经南十二路与经开 第十九-大街交汇处,郑州楼盘|绿化率高|人车分流|国央企,建面 85-151㎡,总价141-237(万/套)
美盛金水印,金水区/汽配大世界/河南省郑州市金水区北三环渠东路交汇处,郑州楼盘|绿化率高|人车分流|品牌房企,建面 108-165㎡,总价240-342(万/套)
越秀·臻悦府,新郑市/南龙湖商圈/新郑市郑新快速路与祥云路交会处西800米,郑州楼盘|绿化率高|人车分流|国央企,建面 95-128㎡,总价72-105(万/套)
泰宏建业国际城,二七区/万客来/大学路与南三环交汇处向南1000米,郑州楼盘|车位充足|绿化率高|品牌房企,建面 59-142㎡,总价70-220(万/套)
美的东润智慧城,荥阳市/荥阳城区/河南省郑州市荥阳市中原西路与桃贾路交叉口往东200米路北,郑州楼盘|封闭管理|品牌房企|科技住宅,建面 78-135㎡,总价59-102(万/套)
万科·未来时光,金水区/杨金路/河南省郑州市金水区杨金路与东三环交叉口西500米路北,郑州楼盘|人车分流|封闭管理|国央企,建面 131-143㎡,总价257-290(万/套)
世茂云尚城,管城回族区/正商城/新郑路和航海路交汇处,郑州楼盘|低总价|人车分流|小型社区,建面 58-113㎡,总价64-67(万/套)
世茂云图,管城回族区/正商城/郑州市管城区航海路连云路东南200米（通站路三峡路交汇处）,郑州楼盘|人车分流|封闭管理|品牌房企,建面 80-126㎡,总价103-160(万/套)
华南城中园,新郑市/南龙湖商圈/双湖大道与创新路交汇处,郑州楼盘|绿化率高|人车分流|品牌房企,建面 88-132㎡,总价60-107(万/套)
永威城,管城回族区/蓝钻商圈/中州大道南三环向南500米路西,郑州楼盘|人车分流|大型社区|品牌房企,,总价125(万/套)
永丰乐城,新郑市/南龙湖商圈/紫荆山南路与祥云路交叉口,郑州楼盘|人车分流|大型社区|品牌房企,建面 69-162㎡,总价57-170(万/套)
谦祥时光序,惠济区/南阳路/京广快速路与兴隆铺路交汇处东南角,郑州楼盘|人车分流|大型社区|品牌房企,建面 69-116㎡,总价93-180(万/套)
兴港和昌盛世城邦,航空港区/航空港商圈/新港十一路与航兴路交汇处,郑州楼盘|低总价|绿化率高|低密居所,建面 89-180㎡,总价72-102(万/套)
谦祥世茂万华城,郑州高新技术产业开发区/高新石佛/西三环科学大道向西800米,郑州楼盘|绿化率高|人车分流|品牌房企,建面 69-142㎡,总价84-198(万/套)
融侨城,新郑市/南龙湖商圈/紫荆山南路与阳光大道向东200米路北,郑州楼盘|车位充足|绿化率高|品牌房企,建面 86-137㎡,总价60-94(万/套)
瀚宇天悦湾,荥阳市/荥阳城区/郑上新区郑上路与万山路交汇处向西300米,郑州楼盘|绿化率高|人车分流|品牌房企,建面 70-242㎡,总价45-160(万/套)
大溪地,荥阳市/荥阳城区/中原西路和商隐路交汇处,郑州楼盘|绿化率高|人车分流|品牌房企,建面 88-700㎡,总价64-810(万/套)
锦雍水之郡,郑东新区/龙子湖/龙子湖畔姚桥路与德慧街交汇处,郑州楼盘|绿化率高|人车分流|健身跑道,建面 86-136㎡,总价137-206(万/套)
和昌水岸花城,惠济区/邙山/天河路与绿源路向西300米,郑州楼盘|低总价|绿化率高|低密居所,建面 95-136㎡,总价88-133(万/套)
九锦台,金水区/海洋馆/文化路国基路交汇处西500米处,郑州楼盘|绿化率高|人车分流|科技住宅,建面 88-131㎡,总价131-191(万/套)
汇泉西悦城,中原区/常西湖/陇海路与西四环交汇口西南侧,郑州楼盘|低单价|低总价|人车分流,建面 83-114㎡,总价78-180(万/套)
正商智慧城,新郑市/橄榄城/郑新快速路与绕城高速西北角,郑州楼盘|车位充足|绿化率高|置换改善,建面 110-175㎡,总价100-120(万/套)
阳光城,管城回族区/阳光城/中州大道与长江路路交会处,郑州楼盘|封闭管理|国央企|品牌房企,建面 89-160㎡,总价105-192(万/套)
金沙湖高尔夫观邸,郑州经济技术开发区/金沙湖高尔夫观邸/经南九路与第八大街交汇处,郑州楼盘|绿化率高|人车分流|公交直达,建面 70-170㎡,总价105-290(万/套)
华瑞紫韵城,中原区/中原万达/西四环以东、郑上路南北两侧,郑州楼盘|人车分流|大型社区|品牌房企,建面 88-147㎡,总价138-202(万/套)
正弘中央公园,航空港区/航空港商圈/通航路与凌风街交叉口西北角,郑州楼盘|绿化率高|人车分流|品牌房企,建面 89-143㎡,总价67-143(万/套)
正商河峪洲,惠济区/邙山/西四环于北四环（大河路）交会处,郑州楼盘|低单价|低总价|车位充足,建面 90-125㎡,总价113-150(万/套)
银基国际旅游度假区,新密市/新密市/郑尧高速密杞大道交汇处向南5公里,郑州楼盘|车位充足|绿化率高|置换改善,建面 82-180㎡,总价60-360(万/套)
青风公园二期,郑州经济技术开发区/滨河国际新城商圈/经开区第十八大街与经南十二路交汇处,郑州楼盘|车位充足|绿化率高|置换改善,建面 123-196㎡,总价200-290(万/套)
台隆合园,"惠济区/南阳路/南阳路弘润路交会处西北角, 南阳路183号1号院",郑州楼盘|车位充足|绿化率高|自持商业,建面 107-142㎡,总价150-214(万/套)
新城郡望府,荥阳市/荥阳城区/郑上路织机路向南100米路西,郑州楼盘|低总价|人车分流|大型社区,建面 89-140㎡,总价52-80(万/套)
融创御湖宸院,中原区/帝湖/西三环与长江路交汇处西北,郑州楼盘|绿化率高|人车分流|品牌房企,建面 89-143㎡,总价115-178(万/套)
鸿园,郑东新区/鸿园片区/鸿宝路与鸿苑路交叉口向北800米,郑州楼盘|车位充足|人车分流|品牌房企,,总价700(万/套)
棠颂别院,郑东新区/商业中心/商都路与康平路交汇处,郑州楼盘|优惠楼盘|车位充足|人车分流,建面 249-341㎡,总价2200-2500(万/套)
东原阅城,郑州高新技术产业开发区/省体育中心/河南省郑州市高新区西三环与三全路交叉口,郑州楼盘|人车分流|大型社区|品牌房企,建面 109-129㎡,总价125-155(万/套)
大正·水晶森林二期,郑州高新技术产业开发区/高新万科/冬青西街南，须水河西路西,郑州楼盘|绿化率高|人车分流|品牌房企,建面 89-132㎡,总价115-175(万/套)
公园1872,二七区/万客来/西四环萍湖路交汇处向南约1000米,郑州楼盘|低单价|绿化率高|低密居所,建面 127-143㎡,总价130-330(万/套)
正弘新城,新郑市/新郑城区/中兴路与万福路交汇处,郑州楼盘|低单价|低总价|车位充足,建面 94-219㎡,总价72-92(万/套)
融创城,管城回族区/橄榄城/中州大道紫辰路交会处南500米,郑州楼盘|绿化率高|人车分流|品牌房企,建面 95-143㎡,总价158-300(万/套)
泉舜上城,金水区/青少年公园/黄河路与南阳路交汇处向东100米路北,郑州楼盘|人车分流|大型社区|品牌房企,建面 42-130㎡,总价53-287(万/套)
中海天悦府,郑州经济技术开发区/滨河国际新城商圈/华夏大道与经南九路交汇处西北角,郑州楼盘|人车分流|大型社区|国央企,建面 88-142㎡,总价191-220(万/套)
融侨悠乐汇,二七区/万客来/嵩山南路鼎盛大道北融侨悦公馆,郑州楼盘|低单价|人车分流|品牌房企,建面 39-59㎡,总价23-40(万/套)
吉地·澜花语,郑东新区/白沙/郑开大道与中山路（原贺庄路）交叉口向南300米路东,郑州楼盘|车位充足|绿化率高|健身跑道,建面 95-180㎡,总价114-248(万/套)
汇泉景悦城,中原区/中原万达/西三环与颖河路交汇处西南角,郑州楼盘|人车分流|大型社区|品牌房企,建面 75-131㎡,总价86-150(万/套)
兴港云著,航空港区/航空港商圈/郑州航空港区雍州路与护航路交叉口,郑州楼盘|低总价|绿化率高|低密居所,建面 97-127㎡,总价88-107(万/套)
清韵颐景苑,金水区/燕庄/河南省郑州市金水区郑汴路与玉凤路向北300米,郑州楼盘|绿化率高|人车分流|贴心物业,建面 57-226㎡,总价114-640(万/套)
明月江南,荥阳市/荥阳城区/科学大道与荥泽大道交汇处向南1000米路西,郑州楼盘|人车分流|大型社区|科技住宅,建面 95-170㎡,总价80-170(万/套)
富田城·九鼎公馆,管城回族区/橄榄城/管城回族区南三环金岱路（郑尉路）交会处,郑州楼盘|绿化率高|人车分流|品牌房企,建面 88-142㎡,总价105-168(万/套)
金辉滨河云著,郑州经济技术开发区/滨河国际新城商圈/经开第十六大街以东、经南十三路以南、经南十四路以北,郑州楼盘|绿化率高|人车分流|品牌房企,建面 96-169㎡,总价150-490(万/套)
电建泷悦华庭,郑州经济技术开发区/滨河国际新城商圈/经南十五路电建泷悦华庭,郑州楼盘|车位充足|绿化率高|国央企,建面 95-155㎡,总价145-287(万/套)
华润•润园,中原区/五龙口/金水西路沿线（嵩山路-秦岭路之间),郑州楼盘|人车分流|封闭管理|国央企,建面 46-166㎡,总价92-215(万/套)
美盛·中华城,新郑市/航空港商圈/南龙湖·中华路与107连接线交汇处,郑州楼盘|绿化率高|人车分流|品牌房企,建面 80-144㎡,总价65-113(万/套)
汇泉博澳东悦城,郑东新区/白沙/商都大道与前程路交会处,郑州楼盘|低单价|低总价|绿化率高,建面 88-129㎡,总价80-139.2(万/套)
融创空港宸院,航空港区/航空港商圈/长安路与鄱阳湖路交叉口,郑州楼盘|低密居所|人车分流|置换改善,建面 89-138㎡,总价85-145(万/套)
